,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse4.Level1,Q147.OtherInfoAreas.Reponse5.Level1,Q147.OtherInfoAreas.Reponse6.Level1,Q147.OtherInfoAreas.Reponse7.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse4.Level1,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse1.Level3,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse3.Level3,Q162.MainChallengesOnFarm.Reponse4.Level1,Q162.MainChallengesOnFarm.Reponse4.Level2,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q171.MakeSharingEasier.Response2.Level2,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2
42,"how to keep my farm to increase output
soil testing",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,"financial access 
support and guidance to whats is supposed to be done on legal framework on value",Finance,,Legal support,,,,"fluctuating tea prices
frosts and hailstone
weeeds",Prices,Price fluctuation,,Weeds,,,Weather,Extreme,Hail,,,chemical weeding and hand picking,everything i am trained on,time constraint and inadequate resources,Time,,Lack of information/resources/demonstrations/demonstrations,i need to be train well so that i acquire more to tell other farmets,Training,,,,Tea farming,Farm Costs,,,,it rained on time,,"fluctuating interest rates
low credit rates",Low Credit,,High Interest,,,,
43,"how to improve tea yield
soil testing to know good fertilizer",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,"training on bee keeping
asset support like beehive
access to finance",Training ,Bee keeping,Finance,Beehives,,,"frosts and hailstones
weeds",Weather,Extreme,Frost,Weeds,,,Weather,Extreme,Hail,,,hand picking of weeds,how to increase yield from small farm,time constraint,Time,,,sireet to create farmers network to ease communication,Communication,,Increased support from cooperative,,Dairy farming,Farm Costs,,Livestock,,too much cold and frost,,kilos are not enough so i get less loans,Insufficient Disbursement Amount,Farming Challenges,,,,,
44,soil ph value,Soil management ,Soil quality analysis,,,,,,,,,,,"financial grants
access to cheap source of finance",Finance,,,,,,"weeds
price fluctuation
inadequate food supply",Prices,Price fluctuation,,Weeds,,,Lack of food,,,,,"renting land
hand picking weeds",how to embrace mechanized farming and conservation of water,time to meet is a challenge,Time,,,"creation of field days and farmers day by sireet so as 
farmers meet to share",Increased support from cooperative,Farmers Day,Share benefits,,Buying more land,Land Purchase,,,,weather has been cold but its improving,,None,No Challenges,,,,,,
45,soil testing,Soil management ,Soil quality analysis,,,,,,,,,,,i request sireet to construct for me a dairy unit,Infrastructure,Dairy unit,,,,,"inadequate water
weeds
frost and hailtones",Weather,Extreme,Frost,Weeds,,,Weather,Extreme,Hail,Water,Access,using chemical weeding and hand picking,new skills in  farming,time,Time,,,"time be created so as  the choimim village family meet learn new things.
resistance by respondents",Time,,,,Repaying loans,Loan Repayment,,,,poor weather too much hailstones,,"repayment when crop is low
high interest rates",High Interest,Farming Challenges,Repayment Hard,,,,
46,soil test,Soil management ,Soil quality analysis,,,,,,,,,,,"i need financial grant,access to cheap source of finance",Finance,Affordable,,,,,no challenge,None,,,,,,,,,,,weeding using hand and chemicals,how to keep your farm clean  and to improve productivity,communication with them,Communication,,,doing the same practically so that they see. working as an example,Leading by example,,,,"Savings,harambees",Savings,,,,poor rain,,"interest rates high
procedure to acquire is long and comple",High Interest,,Background Check,,,,
47,soil testing to know crop appropriate to plant and good fertilizer,Soil management ,Soil quality analysis,,Fertilizer management,,,,,,,,,"access to water supply will enable me go dairy farming
access to affordable source of finance
access to electricity",Inputs,Water,Finance,Beehives,Dairy,Electricity,"price fluctuation
weeds
labour turn over
food insecurity",Prices,Price fluctuation,,Weeds,,,Labour ,Shortage,,Lack of food,,reduce fertilizer cost,how to keep your farm clean and how to improve yield,"time challenge
lack resources",Time,,Lack of information/resources/demonstrations,farmers to be taught on the importance sharing information,Share benefits,,,,"Farming,dairy feeds,travelling,wages and salaries",Farm Costs,Wages,Livestock,Travel,frost and hailstone its too cold,,"High interests 
Unfair penalties due to uncontrolled loses/catastrophes",High Interest,Farming Challenges,Repayment Hard,,,,
48,"fertilizer to use
biogas",Biogas,,,Fertilizer management,,,,,,,,,provided with dairy farming breeds,Inputs,Improved breeds,,,,,"fluctuating tea prices
weeds",Prices,Price fluctuation,,Weeds,,,,,,,,not yet done,new farming techniques,"inadequate time
lack of resources",Time,,Lack of information/resources/demonstrations,teaching farmers to accept training,Share benefits,,,,,,,,,weather,,Price fluctuations on tea affect repayment,Repayment Hard,Price Shocks,,,,,
49,"dairy farming 
soil testing",Soil management ,Soil quality analysis,,Livestock,Dairy,,,,,,,,training on animal husbandry,Training ,Livestock,,,,,"lack  of finance
scarcity of land
weeds",Finance,,,Weeds,,,Farm area,,,,,"chemical weeding
hand pulling
planting pumpkins to to supplement food supply",chemical handling ands uses,"time 
lack 9f tools to use",Time,,Lack of information/resources/demonstrations,teach farmers to accept new technique,Share benefits,,,,,,,,,last year i pruned the tea bushes,,Low income,Low Income,,,,,,
50,"soil test
tea transportation is costly 
high cost of fertilizer",Soil management ,Soil quality analysis,,Fertilizer management,,Tea transportation,,,,,,,finance,Finance,,,,,,"tea plucking labour
weeds",Labour ,Shortage,,Weeds,,,,,,,,"chemical weeding hand picking
keeping dry matter for animal feeds","how to weed farms
how to harvest and conserve water","time challenge
inadequate resources",Time,,Lack of information/resources/demonstrations,creating farmers day by sireet to make it easy,Increased support from cooperative,Farmers Day,,,,,,,,poor rain and fertilizer,,repayment due to fluctuation of tea production,Repayment Hard,Farming Challenges,,,,,
51,"soil testing
farm planning",Soil management ,Soil quality analysis,,Farm management,,,,,,,,,provision of finance,Finance,,,,,,no challenge other than weeds and drought,Weeds,,,Weather,Drought,,,,,,,"manual weeding using jembe
chemical weeding",plucking table maintainance,"time constraint
inadequate resources",Time,,Lack of information/resources/demonstrations,farmers to be taught to accept new techniques and ideas,Training,,Sensitization,,,,,,,good weather conditions and  absence of pests,,reduced production of tea couses the sacco to take all the money available,Repayment Hard,Farming Challenges,,,,,
52,"soil testing
how improve tea out put",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,to be provided with finance,Finance,,,,,,"weather changes
low price that increase cost of production",Prices,Low prices,,Weather,Changing,,,,,,,inter cropping to increase supply  of food,building terraces,"resistance by people
lack of time
lack resource",Fellow farmers do not accept training,Time,Lack of information/resources/demonstrations,educate farmers and bring  field officers,Increased support from cooperative,,Training,,,,,,,improved weather and absence of pests,,destruction tea bushes that meant to pay the loans is a major problem,Repayment Hard,Farming Challenges,,,,,
53,"how to improve tea yield
soil test",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,training on zero grazing,Training,Zero grazing,,,,,"weather changes
drought season
price fluctuation",Weather,Drought,,Weather,Changing,,Prices,Price fluctuation,,,,chemical and hand picking of weeds,"pumpkins growing
farm weeding",time is a problem,Time,,,educate us on importance of tea management,Training,,,,,,,,,inadequate rain and frost,,reduce production of tea leaves which sometimes affect payrment,Repayment Hard,Farming Challenges,,,,,
54,"soil testing 
appropriate fertilizer to use",Soil management ,Soil quality analysis,,Fertilizer management,,,,,,,,,provided with finance,Finance,,,,,,"weeds
tea price fluctuations
inadequate food",Weeds,,,Lack of food,,,Prices,Price fluctuation,,,,"hand pulling of weeds
chemical weeding",animal keeping and transportation,time to train them is limited,Time,,,creation of farmers day and frequent meetings,Establish meetings,Farmers Day,,,,,,,,poor rain and cold,,high interest rates,High Interest,,,,,,
55,"how to improve tea yield
soil testing",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,provision of finance and training,Training,,Finance,,,,"weeds
animal  feeds",Weeds,,,Inputs,Animal feed,,,,,,,"saving dry matter during harvesting to feed animals
harvesting water during rainy season","planting shed tress
pruning
weeding
tea plucking",farmers resistance to the training,Fellow farmers do not accept training,,,creation of meetings,Establish meetings,,,,,,,,,poor weather,,"low credit limit
high interest rates",High Interest,,Low Credit,,,,
56,"testing my soil to know ph value
sometime tea bushes go dry i need to know what i should do",Soil management ,Soil quality analysis,,Water management ,,,,,,,,,training,Training,,,,,,"weeds
fluctuating tea price",Weeds,,,Prices,Price fluctuation,,,,,,,"planting sweet potatoes to supplement maize produced 
pruning to improve yield
using chemical weeding",bee keeping,lack of resources and time,Time,,Lack of information/resources/demonstrations,farmers to be sensitized on the need and importance of sharing information,Sensitization,,Share benefits,,,,,,,weather problem and i pruned other part,,reduced production of tea leaves increase interest in bang and also change in weather conditions,High Interest,Weather,Farming Challenges,,,,
57,"improving out put
soil testing
pest control methods",Soil management ,Soil quality analysis,,Pest management,,,,,,,,,getting finance,Finance,,,,,,"weeds
inadequate food supply",Weeds,,,Lack of food,,,,,,,,"hand weeding using jembe
using chemicals to weed","planting improved seed
diversification from tea",time constraints,Time,,,farmers to be brought together,Establish meetings,,Training,,,,,,,bad weather,,the loan is not enough for my farm,Insufficient Disbursement Amount,,,,,,
58,"farm planning
how to create market
poultry keeping
bee keeping",Livestock,Poultry,,Value addition,,Bee keeping,,Farm planning,,,,,provide with training and finance,Training,,Finance,,,,"fluctuating price
weeds
hailstones",Weeds,,,Weather,Extreme,Hail,Prices,Price fluctuation,,,,weeding both hand and chemical weeding,"kitchen gardening
new techniques",scarce time,Time,,,when farmers are brought together on a meeting,Establish meetings,,,,,,,,,bad weather  inadequate rainfall,,none,No Challenges,,,,,,
59,"green house
soil testing",Soil management ,Soil quality analysis,,Greenhouses,,,,,,,,,training and finance,Training,,Finance,,,,"weeds
low yield
hailstone",Weeds,,,Weather,Extreme,Hail,Crops,Low productivity,,,,"water harvesting
weeding using chemicals","water management
diversification",time challenge,Time,,,cal for frequent  meetings,Establish meetings,,,,,,,,,long drought,,High interests,High Interest,,,,,,
60,"soil testing
crop protection
the cause of calf deaths shortly after death",Soil management ,Soil quality analysis,,Pest management,,Livestock,Dairy,,,,,,provided with finance to building zero grazing unit,Finance,Zero grazing unit,,,,,"scarcity of land
animal feeds
water",Water,Access,,Inputs,Animal feed,,Farm area,,,,,manual weeding using jembe,"growing three months food crops to solve food problem
how to prune tea",limited time,Time,,,creation for communication platform by chief shed chairmen and sireet oep,Communication platform,,Increased support from cooperative,,,,,,,low rain,,Poor productions leads poor servicing of loan repayments,Repayment Hard,Farming Challenges,,,,,
61,best tea farming practices,Good agricultural practices,,,,,,,,,,,,access to affordable financial support,Finance,,,,,,"weeds
low tea yield
food scarcity
soil erosion",Weeds,,,Crops,Low productivity,,Lack of food,,,Soil mangement,Soil erosion,"weeding
planting seedlings when they ate ready to transplant",how to weed farm and to prevent soil erosion,"farmers resistance
time to mobilize",Fellow farmers do not accept training,,Time,farmers should be taught by sireet to accept farmer to farmer training,Increased support from cooperative,,Sensitization,Farmer-to-farmer training,,,,,,low rainfall,,High interests rates,High Interest,,,,,,
62,best tea management practice,Good agricultural practices,,,,,,,,,,,,access to money grants,Finance,Grants,,,,,"weeds
soil erosion",Weeds,,,Soil mangement,Soil erosion,,,,,,,weeding using chemicals and manuall  weeding,"proper weeding
plucking standards","time is limit
farmers turn up on meeting is low",Time,,,farmers to be brought together in a meeting,Establish meetings,,,,,,,,,delayed rain,,Very high interests rates,High Interest,,,,,,
63,"good farming practice on tea,dairy farming",Good agricultural practices,,,,,Livestock,Dairy,,,,,,"access to cheap source of financial
financial grant",Finance,Grants,Finance,Affordable,,,"weeds
fertilizer",Weeds,,,Inputs,Fertilizer,,,,,,,inter cropping  to increase food base,"starting business
weeding
water harvesting",time is limited,Time,,,farmers education to be done quarterly,Training,,,,,,,,,rain delayed,,"High interests 
Bad weather on tea affects loans",High Interest,,,,,,
64,good farming practices,Good agricultural practices,,,,,,,,,,,,"Training 
Finances",Training,,Finance,,,,"water 
weeds
fertility of land",Water,Access,,Weeds,,,Soil mangement,Fertility,,,,weeding by pulling,"kitchen gardening
weeding",time is Limited,Time,,,create day for farmers,Training,,,,,,,,,long spell of drought,,"High bank rates 
Low season affects repayments",High Interest,Farming Challenges,,,,,
65,"dairy farming,tea farming",Good agricultural practices,,,Livestock,Dairy,,,,,,,,Change of attitude,Attitude change,,,,,,"fertilizer
labour turnover
weeds",Labour ,Shortage,,Inputs,Fertilizer,,Weeds,,,,,"hand picking of weeds and using jembe with my husband
too much fertility i plant onions to reduce",crafting of fruits fish keeping,"time
some people are not willing to learn",Time,,Fellow farmers do not accept training,time be created by sireet,Increased support from cooperative,,,,,,,,,i had pruned tea last year,,LOW CREDIT,Low Credit,,,,,,
66,biogas. getting best yield in tea,Biogas,,,Yield improvement,,,,,,,,,provision of finance to build poultry house,Finance,Poultry,,,,,"market
weeds
weather changes",Markets,,,Weather,Changing,,Weeds,,,,,"weeding manually and sometimes i use chemical weeding
terraces digging","biogas 
chicken keeping","time
farmers unwilling to learn",Time,,Fellow farmers do not accept training,create platform where farmers meet and learn from each other,Communication platform,,,,,,,,,long drought spell,,"THE NUMBER OF KGS YOU HAVE FOR TEA
LOAN REPAYMENT,IF THE FARMER HAS ONCE DEFAULTED,HE OR SHE IS NOT GIVEN THE LOAN",Repayment Hard,Farming Challenges,,,,,
67,"best tea practices,dairy farming",Good agricultural practices,,,Livestock,Dairy,,,,,,,,provision with information on potatoes farming,Information,Potatos,,,,,"labour turnover
moles
weeds",Labour ,Shortage,,Pests,Moles,,Weeds,,,,,"weeding manually using jembe and using chemicals
dinking terraces",how to  do farming inter cropping to improve food supply,"time 
some people are not interested",Time,,Fellow farmers do not accept training,farmers to be sensitized  on the importance of information sharing,Sensitization,Farmer-to-farmer training,,,,,,,,i had pruned last year and weather  has been good,,No challenges,No Challenges,,,,,,
68,training on records n tea best practices,Record keeping,,,Good agricultural practices,,,,,,,,,develop the systematic way of doing,Farm management,,,,,,"weeds
inadequate food",Weeds,,,Lack of food,,,,,,,,"weeding manually using a jembe andand pulling
spraying weeds","weeding
table maintenance","time 
farmers unable to conceptualize theory and when  you take them to practicals they have already lost patience",Time,,Fellow farmers do not accept training,farmers day be set aside by eastern produce Kenya limited,Increased support from cooperative,Farmers Day,,,,,,,,drought was long,,"Price fluctuations in tea
Low produce",Farming Challenges,Price Shocks,,,,,
69,best tea farming,Good agricultural practices,,,,,,,,,,,,educate us and may be have more support from technicians,Information ,,Training,Extension officer,,,"weeds 
land fertility
hailstones",Weeds,,,Weather,Extreme,Hail,Soil mangement,Fertility,,,,weeding that's hand picking,kitchen gardening,"time
people are reluctant to attend meetings",Time,,Fellow farmers do not accept training,time be created say once in a month farmers to meet and learn  from each other,Establish meetings,,,,,,,,,"long dry spell,hailstone",,No challengea,No Challenges,,,,,,
70,"dairy farming,how to use small farm to get best yields.",Livestock,Dairy,,Yield improvement,,,,,,,,,"have company veterinary to assist us
have agrovet available for us",Expert assistance,Vet,,,,,"weeds
fluctuating prices
soil erosion",Weeds,,,Prices,Price fluctuation,,Soil mangement,Soil erosion,,,,i bought a donkey to transport water,"tea planting
weeding
digging terraces",people may be reluctant to practice,Fellow farmers do not accept training,,,when farmers are brought together by sireet will be of great help,Increased support from cooperative,,,,,,,,,low fertilizer and drought,,"Low credit 
Loan repayment is sometimes hard especially when there are low yields in tea",Low Credit,Farming Challenges,Repayment Hard,,,,
71,how i can get best yields in my farm,Yield improvement,,,,,,,,,,,,provided with seeds and finance,Inputs,Seeds,Finance,,,,"soil erosion
weeds
water problem",Weeds,,,Soil mangement,Soil erosion,,Water,Access,,,,chemical weeding and manual weedings,"kitchen gardening
poultry keeping
tea farming",no,No Challenges,,,village farmers day be created each month for farmers to come together,Increased support from cooperative,Farmers Day,,,,,,,,long dry spell and fertilizer given was not good,,"Sometimes you are not given the loan in time,sometimes it is hard to get guarantors",Background Check,,,,,,
72,i need to be trained on record keeping,Record keeping,,,,,,,,,,,,zero grazing house to be constructed for me,Inputs,Zero grazing unit,,,,,"weeds
soil erosion
fluctuating tea prices",Weeds,,,Soil mangement,Soil erosion,,Prices,Price fluctuation,,,,"using chemical  and manual weeding
daily labourers","planting beans,potatoes and vegetable from hybrid Seeds","time constraint
lack of resources",Time,,Lack of information/resources/demonstrations,"creation of communication platform, chief to fix legal day for farmers",Communication platform,,,,,,,,,climatic conditions rain was poor,,No. of kgs of tea might sometimes be low especially during dry seasons and this is something the bank considers when giving out loan,Background Check,Farming Challenges,,,,,
73,"zero grazing,green house farming",Livestock,Zero grazing,,Greenhouses,,,,,,,,,provision of herbicides,Inputs,Agrochemicals,,,,,"finance
weeds
market",Finance,,,Weeds,,,Markets,,,,,"i dug terraces to prevent soil erosion
i control weeds by using chemicals and manually clearing using jembe","banana growing
beans growing","time
turn up on meetings",Time,,,farmers day be created,Increased support from cooperative,Farmers Day,,,,,,,,it rained well and i applied fertilizer,,A lot of requirements are needed when you want to borrow,Background Check,,,,,,
74,cattle rearing,Livestock,Dairy,,,,,,,,,,,"to be provided with fertilizer,",Inputs,Fertilizer,,,,,"weeds
market
water problem",Weeds,,,Markets,,,Water,Access,,,,"chemical and hand weeding
digging terraces to prevent soil erosion
mulching to reduce water loss","tea nursery preparation
improving output on small scale farm
solving water problem by harvesting and having  a donkey","Negligence 
Lack of publicity",Communication,,Negligence,farmers be educate on importance of sharing farming information,Sensitization,Farmer-to-farmer training,,,,,,,,better rain and fertilizer,,No.of kgs of tea may sometimes be low,Farming Challenges,,,,,,
75,zero grazing,Livestock,Zero grazing,,,,,,,,,,,Loans and finances,Finance,,,,,,"weeds
price fluctuations
hailstone
drought",Weeds,,,Weather,Extreme,Hail,Weather,Drought,,Prices,Price fluctuation,"digging terraces 
mulching",planting shed trees,There are none,No Challenges,,,farmers to be taught to learn from others,Sensitization,Farmer-to-farmer training,,,,,,,,i had pruned some part of my tea farm last year,,"During dry seasons or when there are hailstorms,the tea production is low hence it's hard to access loans because the banks look at the no. of kgs of tea you have",Farming Challenges,Bad Weather,,,,,
76,"zero grazing,bee keeping",Livestock,Zero grazing,,Bee keeping,,,,,,,,,Fertilizers to be given so that it will increase tea productions,Inputs,Fertilizer,,,,,"weeds
price fluctuation
lack of ready market 
labour turnover",Weeds,,,Labour ,Shortage,,Markets,,,Prices,Price fluctuation,clearing weeds manually,"biogas installation and its benefits
energy saving jiko
growing passion fruits
dairy farming","Bad attitude 
Low income 
Laziness",Poor Committment,,Costs,create awareness to farmers,Sensitization,,,,,,,,,weather low rain,,"The number of kgs of tea are sometimes low hence hindering one from getting the high amount of loan he had applied for,The interest rate for the loans is so high,Defaulting during dry spells",High Interest,Bad Weather,Repayment Hard,,,,
77,best tea practices to get good yields,Good agricultural practices,,,Yield improvement,,,,,,,,,"Donation of verified seeds 
Training on caring of tomatoes
Finances",Inputs,Seeds,,,,,"weeds
soil erosion
labour turnover",Weeds,,,Soil mangement,Soil erosion,,Labour ,Shortage,,,,chemical weeding,energy jiko installation and its benefits,"Fare/transport means 
Poor timed publicity affect attendance",Travel,Costs,Communication,time be created by sireet so that farmers come together,Increased support from cooperative,,,,,,,,,cold and frost,,,,,,,,,
78,"zero grazing,best farming practices",Livestock,Zero grazing,,Good agricultural practices,,,,,,,,,Help on capital,Finance,,Capital assets,,,,"weeds
draught
soil erosion",Weeds,,,Weather,Drought,,Soil mangement,Soil erosion,,,,chemical weeding and manual weeding at the edges,"mulching
terracing
weeding",no chalenge,No Challenges,,,farmers be educated on the importance of meetings,Training,,,,,,,,,improvement on tea production(tea has matured),,,,,,,,,
79,"soil testing to know good fertilizer
how to improve output",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,Financial support,Finance,,,,,,"drought
weeds
soil erosion",Weather,Drought,,Weeds,,,Soil mangement,Soil erosion,,,,i pluck myself and request neighbours when they are free tohe,"mulching
terracing",other farmers are not updated,Lack of information/resources/demonstrations,,,farmers forums be created,Establish meetings,,Communication,,,,,,,lack of rainfall,,,,,,,,,
80,"soil testing
how to improve output",Soil management ,Soil quality analysis,,Fertilizer management,,,,,,,,,Funding,Finance,,,,,,weeds,Weeds,,,,,,,,,,,"telling neighbouring farmers to do terracing
chemical weeding and i have chemical store",manual clearing of weeds,poor communication and poor commitment,Communication,,Poor Committment,farmers be brought together in a meeting,Establish meetings,,,,,,,,,"no maize disease this year,enough rain for tea",,,,,,,,,
81,"soil test
good fertilizer to be used",Soil management ,Soil quality analysis,,Fertilizer management,,,,,,,,,"Training,availability of resources",Finance,,Training,,,,"weeds
draught",Weeds,,,Weather,Drought,,,,,,,chemical weeding and hand pulling,"weeding
shed trees planting",i dont know how to write,Poor Education,Literacy,,farmers to be educated to always learn from one another,Sensitization,Farmer-to-farmer training,,,,,,,,"enough rain,no maize disease",,,,,,,,,
82,"Know more about tea care because sometimes rain may wash away fertilizers 
How to use organic manure 
Good health",Compost,Organic,,Fertilizer management,,,,,,,,,"TRAINING
FARM DEMONSTRATIONS",Training,Farm demonstrations,,,,,"weeds
price fluctuation",Weeds,,,Prices,Price fluctuation,,,,,,,hand weeding and chemical weeding,"weeding
planting of three month crop to supplement food supply",long distance to the buyingg centres and poor education level,Poor Education,,Travel,farmers to be educated to attend trainings,Training,,Sensitization,,,,,,,"drought affected my farm,hailstones",,,,,,,,,
83,General farming techniques,Good agricultural practices,,,,,,,,,,,,"FINANCIAL SUPPORT,LOW INTEREST LOANS WITH A LONGER REPAYING PERIOD",Finance,Low interest loans,,,,,"labour turnover
weeds",Labour ,Shortage,,Weeds,,,,,,,,"spraying to control pest
digging terracing
manual and chemical weeding","bee keeping 
weeding",no challenge,No Challenges,,,farmers training curriculum,Training materials,,,,,,,,,frost affected my farm,,,,,,,,,
84,Management and record keeping,Record keeping,,,Farm management,,,,,,,,,FINANCIAL SUPPORT,Finance,,,,,,"farm weeds
lack of market for kitchen garden products
water run off from neighbouring farmers",Weeds,,,Markets,,,Soil mangement,Soil erosion,,,,"terracing to control soil erosion
controlling weeds by using chemical and clearing manually","chemical handling
bee keeping 
poultry keeping",poor roads communication,Travel,,Communication,"farmers awareness
house to house visits",Sensitization,,Visit Fellow Farmers Farms,,,,,,,low fertilizer that i applied,,,,,,,,,
85,"Spraying and chemicals 
Cattle and Terry 
General farming on tea",Livestock,Dairy,,Pest management,,Good agricultural practices,,,,,,,more financing,Finance,,,,,,"weeds
labour turnover",Weeds,,,Labour ,Shortage,,,,,,,"i take loans,or sell tea to other companies","kitchen garden
safety handling of chemicals",poor roads and communication problem,Travel,,Communication,farmers days and forums be created,Establish meetings,Farmers Day,,,,,,,,drought and price flactuation,,,,,,,,,
86,best farming practices,Good agricultural practices,,,,,,,,,,,,More financing,Finance,,,,,,"lack of ready market
soil erosion
weeds",Markets,,,Soil mangement,Soil erosion,,Weeds,,,,,nothing,"rocket jiko
kitchen garden
farm cleaning",time to share is limited,Time,,,all forums both farming and non farming time be set aside for farming highlits,Establish meetings,,Training,,,,,,,"drought,and haistonnes",,,,,,,,,
87,potatoes farming,Potato farming,,,,,,,,,,,,Provision of more funds,Finance,,,,,,"pest and diseases
weeds
soil erosion",Pests,,,Soil mangement,Soil erosion,,Weeds,,,,,"i use maize stalk to feed my animals
chemical and hand weeding
working with my wife to provide labour","importance of passion fruits and the income that accrues from it
planting shed trees",time constraints and inadequate resources,Time,,Lack of information/resources/demonstrations,people and all farmers should be motivated by sireet providing practical learning facility like giving them one seedling,Increased support from cooperative,,,,,,,,,frost,,,,,,,,,
88,"effectiveness of the fertilizers 
proper way of  plucking record",Fertilizer management,,,Plucking,,,,,,,,,"Providing more finances
Training",Finance,,Training,,,,herbicides to use in the farm,Inputs,Agrochemicals,,,,,,,,,,"weeding manually and using chemicals
digging terraces","energy saving jiko
biogas",my old age id the problem,Age,,,notthing,NA,,,,,,,,,"low fertilizer,drought",,,,,,,,,
89,production of tea livestock and maize farming,Livestock,,,Maize,,Good agricultural practices,,,,,,,"Provision of finances,visit to the farm by extension officers,training farmers.",Finance,,Training,Extension officers,Farm visits,,finance,Finance,,,,,,,,,,,"digging terraces 
weeding using both chemicals and manual","importance of digging terraces, planting trees, improving yield by pruning",education as many don't know how to write,Poor Education,Literacy,,i need to be trained and given information first,Training,,Training materials,,,,,,,poor weather condition not good for tea,,,,,,,,,
90,"the correct fertilizer to use on my soil
soil test",Soil management ,Soil quality analysis,,Fertilizer management,,,,,,,,,"Providing more finances,training",Finance,,Training,,,,lack of finance,Finance,,,,,,,,,,,chemical weeding and manual weeding,zero grazing,no challenge so far,No Challenges,,,i need training on zero grazing,Training,,,,,,,,,poor weather condition,,,,,,,,,
91,"soil tests
research on my farm and advice to improve yield",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,"Training,providing funds",Finance,,Training,,,,"drought,lack of finance to develop my farm",Finance,,,,,,,,,,,Growing trees,"dairy farming,best tea practices",education,Poor Education,,,be trained first on zero grazing,Training,,,,,,,,,hailstones has reduced the productipn,,,,,,,,,
92,"how to improve productivity
soil to be tested",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,"providing funds,more training",Finance,,Training,,,,expensive plucking rates,Labour ,Costs,,,,,,,,,,I not done anything,modern dairy farming,poor education,Poor Education,,,be trained,Training,,,,,,,,,i applied fertilizer this year,,,,,,,,,
93,education on tea production,Good agricultural practices,,,,,,,,,,,,"Provision of funds,training",Finance,,Training,,,,expensive fertilizer,Inputs,Fertilizer,Costs,,,,,,,,,"Spraying 
Uprooting","dairy farming,how to get best tea yield",constant  conflicts with my neighbours,Conflict ,,,farmers to be educated on information shairing,Training,Farmer-to-farmer training,,,,,,,,lengthy drought and bigger portion was prunned,,,,,,,,,
94,plucking program for effective tea management yo get good output,Plucking,,,Yield improvement,,,,,,,,,"Providing funds or any other support,more training",Finance,,Training,,,,"drought,",Weather,Drought,,,,,,,,,,Uprooting,daily,no problem,No Challenges,,,farmers to allocate time for learning,Time,,,,,,,,,poor rainfall,,,,,,,,,
95,"soil to be tested,which fertilizer to use",Soil management ,Soil quality analysis,,Fertilizer management,,,,,,,,,"Provision of funds,more training",Finance,,Training,,,,"drought,frost",Weather,Drought,,Weather,Extreme,Frost,,,,,,hand weeding,green house development for tomatoes,farmers who come to the shed are few,Poor Committment,,,resources are scarce,Training materials,,,,,,,,,Poor fertility and drought,,,,,,,,,
